Narendra Modi Stadium,132000,S_1,Ahmedabad,Gujarat,Hotel1,Hotel11
Rajiv Gandhi International Stadium,55000,S_2,Hyderabad,Telangana,Hotel2,Hotel12
HPCA Stadium,23000,S_3,Dharamsala,Himachal Pradesh,Hotel3,Hotel13
Arun Jaitley Stadium,42000,S_4,Delhi,Delhi,Hotel4,Hotel14
MA Chidambaram Stadium,38000,S_5,Chennai,Tamil Nadu,Hotel5,Hotel15
BRSABVE Cricket Stadium,50000,S_6,Lucknow,Uttar Pradesh,Hotel6,Hotel16
MCA International Stadium,37000,S_7,Pune,Maharashtra,Hotel7,Hotel17
M. Chinnaswamy Stadium,40000,S_8,Bengaluru,Karnataka,Hotel8,Hotel18
Wankhede Stadium,32000,S_9,Mumbai,Maharashtra,Hotel9,Hotel19
Eden Gardens,68000,S_10,Kolkata,West Bengal,Hotel10,Hotel20
